Argument,Nodes,Time,Primes
4800000,4,91853.39,335439
4800000,4,98763.49,335439
4800000,4,91094.62,335439
4800000,4,92542.27,335439
4800000,4,92391.55,335439
4800000,4,89834.88,335439
4800000,4,99673.46,335439
4800000,4,91750.44,335439
4800000,4,92079.03,335439
4800000,4,96134.18,335439
4800000,4,94041.86,335439
4800000,4,92430.46,335439
4800000,4,88323.27,335439
4800000,4,91882.55,335439
4800000,4,91154.32,335439
4800000,4,92468.75,335439
4800000,4,91362.52,335439
4800000,4,88196.33,335439
4800000,4,94210.52,335439
4800000,4,91509.87,335439
4800000,4,96254.71,335439
4800000,4,95972.84,335439
4800000,4,97186.46,335439
4800000,4,96971.55,335439
4800000,4,95427.05,335439
4800000,4,96282.91,335439
4800000,4,96958.59,335439
4800000,4,97391.09,335439
4800000,4,95301.21,335439
4800000,4,98410.29,335439
4800000,4,90132.86,335439
4800000,4,95020.74,335439
4800000,4,88737.33,335439
4800000,4,98195.83,335439
4800000,4,92670.44,335439
4800000,4,94343.2,335439
4800000,4,92071.55,335439
4800000,4,91736.96,335439
4800000,4,103215.89,335439
4800000,4,95077.55,335439
4800000,4,94460.42,335439
4800000,4,93392.32,335439
4800000,4,98925.32,335439
4800000,4,95374.8,335439
4800000,4,72956.05,335439
4800000,4,75635.25,335439
4800000,4,75635.25,335439
