Argument,Nodes,Time,Primes
1200000,2,19871.81,92938
1200000,2,21205.86,92938
1200000,2,20558.33,92938
1200000,2,20301.81,92938
1200000,2,19854.04,92938
1200000,2,19923.14,92938
1200000,2,19983.1,92938
1200000,2,20729.48,92938
1200000,2,19405.14,92938
1200000,2,19679.6,92938
1200000,2,20034.04,92938
1200000,2,20405.6,92938
1200000,2,19871.53,92938
1200000,2,20428.08,92938
1200000,2,19855.69,92938
1200000,2,20892.56,92938
1200000,2,19421.28,92938
1200000,2,20149.95,92938
1200000,2,20772.86,92938
1200000,2,20238.66,92938
1200000,3,19625.98,92938
1200000,3,19250.48,92938
1200000,3,19934.02,92938
1200000,3,19873.73,92938
1200000,3,20856.02,92938
1200000,3,19560.17,92938
1200000,3,19546.93,92938
1200000,3,19942.79,92938
1200000,3,20450.05,92938
1200000,3,19579.95,92938
1200000,3,20081.26,92938
1200000,3,19173.18,92938
1200000,3,19765.06,92938
1200000,3,20496.82,92938
1200000,3,19559.38,92938
1200000,3,21226.47,92938
1200000,3,19365.29,92938
1200000,3,19618.37,92938
1200000,3,20120.5,92938
1200000,3,19619.0,92938
1200000,3,20057.35,92938
1200000,3,21091.07,92938
1200000,3,20280.05,92938
1200000,3,20243.74,92938
1200000,3,19385.48,92938
1200000,3,21210.36,92938
1200000,3,19975.14,92938
1200000,3,20839.7,92938
1200000,3,19358.9,92938
1200000,3,19222.38,92938
1200000,3,19552.53,92938
1200000,3,19869.74,92938
1200000,3,19224.69,92938
1200000,3,19442.85,92938
1200000,3,20515.01,92938
1200000,3,19777.74,92938
1200000,3,20395.89,92938
1200000,3,19739.77,92938
1200000,3,19334.22,92938
1200000,3,20237.11,92938
1200000,3,20743.74,92938
1200000,3,19423.43,92938
1200000,3,19749.57,92938
1200000,3,20582.33,92938
1200000,3,19180.75,92938
1200000,3,19474.26,92938
1200000,3,19101.53,92938
1200000,3,19803.58,92938
1200000,3,19906.74,92938
1200000,3,19736.63,92938
1200000,4,12717.21,92938
1200000,4,12734.79,92938
1200000,4,13829.82,92938
1200000,4,12758.71,92938
1200000,4,12702.93,92938
1200000,4,12464.23,92938
1200000,4,13076.09,92938
1200000,4,12388.34,92938
1200000,4,12864.26,92938
1200000,4,13363.83,92938
1200000,4,13286.88,92938
1200000,4,12705.58,92938
1200000,4,12859.15,92938
1200000,4,12927.24,92938
1200000,4,12358.95,92938
1200000,4,12917.83,92938
1200000,4,12689.31,92938
1200000,4,12733.19,92938
1200000,4,12807.43,92938
1200000,4,12966.7,92938
1200000,4,12864.55,92938
1200000,4,12573.78,92938
1200000,4,13146.48,92938
1200000,4,13197.33,92938
1200000,4,12848.87,92938
1200000,4,12649.77,92938
1200000,4,12777.34,92938
1200000,4,12706.53,92938
1200000,4,12322.91,92938
1200000,4,12886.3,92938
1200000,4,13214.39,92938
1200000,4,12495.84,92938
1200000,4,13183.34,92938
1200000,4,12808.2,92938
1200000,4,12348.48,92938
1200000,4,12539.54,92938
1200000,4,12869.47,92938
1200000,4,13345.52,92938
1200000,4,12765.23,92938
1200000,4,12794.26,92938
1200000,4,13397.72,92938
1200000,4,13017.37,92938
1200000,4,12557.36,92938
1200000,4,12858.32,92938
1200000,4,12890.35,92938
1200000,4,13463.56,92938
1200000,4,13034.32,92938
1200000,4,12787.19,92938
1200000,4,9915.28,92938
1200000,4,9892.0,92938
